course_id,course_name,section_id,session,days/times,dates,instructor,status
ANSTUA410205326,ANST-UA 410 - Animal Minds,Section: 001-LEC (8953),Session: Regular Academic Session,Days/Times: MoWe 2:00pm - 3:15pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Alexandra Eleni Bookis, Jeffrey Raymond Sebo,Status: Open
ANSTUA600153315,ANST-UA 600 - Topics in AS:,Section: 001-SEM (9025),Topic: Literary Animals,Session: Regular Academic Session,Days/Times: MoWe 3:30pm - 4:45pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Nandini Akira Thiyagarajan
ANSTUA600153315,ANST-UA 600 - Topics in AS:,Section: 004-SEM (9708),Topic: Pets, Pests, or Family: On Companion Species,Session: Regular Academic Session,Days/Times: MoWe 12:30pm - 1:45pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Nandini Akira Thiyagarajan
ANTHUA1126178,ANTH-UA 1 - Culture, Power, Society,Section: 001-LEC (7629),Session: Regular Academic Session,Days/Times: TuTh 2:00pm - 3:15pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Amy Zhang,Status: Open
ANTHUA1126178,ANTH-UA 1 - Culture, Power, Society,Section: 004-RCT (7632),Session: Regular Academic Session,Days/Times: Th 8:00am - 9:15am,Dates: 01/27/2020 - 05/11/2020,Instructor: Jayati Narain,Status: Open
ANTHUA1126178,ANTH-UA 1 - Culture, Power, Society,Section: 006-RCT (9927),Session: Regular Academic Session,Days/Times: Fr 9:30am - 10:45am,Dates: 01/27/2020 - 05/11/2020,Instructor: Anisha Chadha,Status: Open
ANTHUA1126178,ANTH-UA 1 - Culture, Power, Society,Section: 007-RCT (9928),Session: Regular Academic Session,Days/Times: Fr 11:00am - 12:15pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Anisha Chadha,Status: Open
ANTHUA2126179,ANTH-UA 2 - Human Evolution,Section: 005-LAB (7638),Session: Regular Academic Session,Days/Times: We 10:30am - 11:45am,Dates: 01/27/2020 - 05/11/2020,Instructor: Jasmine Ruby Hernandez,Status: Open
ANTHUA3126180,ANTH-UA 3 - Archaeology: Early Societies & Culture,Section: 001-LEC (7639),Session: Regular Academic Session,Days/Times: TuTh 2:00pm - 3:15pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Pam Crabtree,Status: Open
ANTHUA3126180,ANTH-UA 3 - Archaeology: Early Societies & Culture,Section: 002-LAB (7640),Session: Regular Academic Session,Days/Times: Th 9:30am - 10:45am,Dates: 01/27/2020 - 05/11/2020,Instructor: Emily Coco,Status: Open
ANTHUA3126180,ANTH-UA 3 - Archaeology: Early Societies & Culture,Section: 003-LAB (7641),Session: Regular Academic Session,Days/Times: Th 11:00am - 12:15pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Emily Coco,Status: Open
