course_id,course_name,section_id,session,days/times,dates,instructor,status
¥ANTHUA1126178¥,¥ANTH-UA 1 - Culture, Power, Society¥,¥Section: 001-LEC (7893)¥,¥Session: Regular Academic Session¥,¥Days/Times: TuTh 11:00am - 12:15pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Bruce M Grant¥,¥Status: Open¥
¥ANTHUA1126178¥,¥ANTH-UA 1 - Culture, Power, Society¥,¥Section: 003-RCT (7895)¥,¥Session: Regular Academic Session¥,¥Days/Times: Fr 9:30am - 10:45am¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Tierney Bridget Brown¥,¥Status: Open¥
¥ANTHUA1126178¥,¥ANTH-UA 1 - Culture, Power, Society¥,¥Section: 004-RCT (7896)¥,¥Session: Regular Academic Session¥,¥Days/Times: Fr 12:30pm - 1:45pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Tierney Bridget Brown¥,¥Status: Open¥
¥ANTHUA1126178¥,¥ANTH-UA 1 - Culture, Power, Society¥,¥Section: 005-RCT (7897)¥,¥Session: Regular Academic Session¥,¥Days/Times: Fr 11:00am - 12:15pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Andrew Robert Patrick Ashley¥,¥Status: Open¥
¥ANTHUA1126178¥,¥ANTH-UA 1 - Culture, Power, Society¥,¥Section: 006-RCT (9858)¥,¥Session: Regular Academic Session¥,¥Days/Times: Fr 11:00am - 12:15pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Parmida Mostafavi¥,¥Status: Open¥
¥ANTHUA1126178¥,¥ANTH-UA 1 - Culture, Power, Society¥,¥Section: 007-RCT (9859)¥,¥Session: Regular Academic Session¥,¥Days/Times: Fr 12:30pm - 1:45pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Parmida Mostafavi¥,¥Status: Open¥
¥ANTHUA2126179¥,¥ANTH-UA 2 - Human Evolution¥,¥Section: 007-LAB (7903)¥,¥Session: Regular Academic Session¥,¥Days/Times: We 2:00pm - 3:15pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Amber Eliza Trujillo¥,¥Status: Open¥
¥ANTHUA2126179¥,¥ANTH-UA 2 - Human Evolution¥,¥Section: 008-LAB (7904)¥,¥Session: Regular Academic Session¥,¥Days/Times: We 3:30pm - 4:45pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Emma Ayres Kozitzky¥,¥Status: Open¥
¥ANTHUA3126180¥,¥ANTH-UA 3 - Archaeology: Early Societies & Culture¥,¥Section: 001-LEC (7907)¥,¥Session: Regular Academic Session¥,¥Days/Times: MoWe 11:00am - 12:15pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Pam Crabtree¥,¥Status: Open¥
¥ANTHUA3126180¥,¥ANTH-UA 3 - Archaeology: Early Societies & Culture¥,¥Section: 002-LAB (7908)¥,¥Session: Regular Academic Session¥,¥Days/Times: Tu 9:30am - 10:45am¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Allison Mary Casaly¥,¥Status: Open¥
¥ANTHUA3126180¥,¥ANTH-UA 3 - Archaeology: Early Societies & Culture¥,¥Section: 003-LAB (7909)¥,¥Session: Regular Academic Session¥,¥Days/Times: Tu 11:00am - 12:15pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Allison Mary Casaly¥,¥Status: Open¥
