¥course_id¥,¥course_name¥,¥section¥,¥topic¥,¥session¥,¥days/times¥,¥dates¥,¥instructor¥,¥status¥
¥ANSTUA400205325¥,¥ANST-UA 400 - Ethics and Animals¥,¥001-LEC (9225)¥,¥¥,¥Regular Academic Session¥,¥Tu 5:00pm - 7:30pm¥,¥09/03/2019 - 12/13/2019¥,¥Jeffrey Raymond Sebo, Mariana Arellano Corbello¥,¥Closed¥
¥ANSTUA500203634¥,¥ANST-UA 500 - Animals and Public Policy¥,¥001-SEM (10425)¥,¥¥,¥Regular Academic Session¥,¥Th 5:00pm - 7:30pm¥,¥09/03/2019 - 12/13/2019¥,¥David Jonathan Wolfson, Eve Christa Wetlaufer¥,¥Closed¥
¥ANTHUA1126178¥,¥ANTH-UA 1 - Culture, Power, Society¥,¥001-LEC (7893)¥,¥¥,¥Regular Academic Session¥,¥TuTh 11:00am - 12:15pm¥,¥09/03/2019 - 12/13/2019¥,¥Bruce M Grant¥,¥Open¥
¥ANTHUA1126178¥,¥ANTH-UA 1 - Culture, Power, Society¥,¥002-RCT (7894)¥,¥¥,¥Regular Academic Session¥,¥Fr 9:30am - 10:45am¥,¥09/03/2019 - 12/13/2019¥,¥Andrew Robert Patrick Ashley¥,¥Closed¥
¥ANTHUA1126178¥,¥ANTH-UA 1 - Culture, Power, Society¥,¥003-RCT (7895)¥,¥¥,¥Regular Academic Session¥,¥Fr 9:30am - 10:45am¥,¥09/03/2019 - 12/13/2019¥,¥Tierney Bridget Brown¥,¥Open¥
¥ANTHUA1126178¥,¥ANTH-UA 1 - Culture, Power, Society¥,¥004-RCT (7896)¥,¥¥,¥Regular Academic Session¥,¥Fr 12:30pm - 1:45pm¥,¥09/03/2019 - 12/13/2019¥,¥Tierney Bridget Brown¥,¥Open¥
¥ANTHUA1126178¥,¥ANTH-UA 1 - Culture, Power, Society¥,¥005-RCT (7897)¥,¥¥,¥Regular Academic Session¥,¥Fr 11:00am - 12:15pm¥,¥09/03/2019 - 12/13/2019¥,¥Andrew Robert Patrick Ashley¥,¥Open¥
¥ANTHUA1126178¥,¥ANTH-UA 1 - Culture, Power, Society¥,¥006-RCT (9858)¥,¥¥,¥Regular Academic Session¥,¥Fr 11:00am - 12:15pm¥,¥09/03/2019 - 12/13/2019¥,¥Parmida Mostafavi¥,¥Open¥
¥ANTHUA1126178¥,¥ANTH-UA 1 - Culture, Power, Society¥,¥007-RCT (9859)¥,¥¥,¥Regular Academic Session¥,¥Fr 12:30pm - 1:45pm¥,¥09/03/2019 - 12/13/2019¥,¥Parmida Mostafavi¥,¥Open¥
¥ANTHUA2126179¥,¥ANTH-UA 2 - Human Evolution¥,¥001-LEC (7898)¥,¥¥,¥Regular Academic Session¥,¥TuTh 2:00pm - 3:15pm¥,¥09/03/2019 - 12/13/2019¥,¥Scott Alan Williams¥,¥Closed¥
¥ANTHUA2126179¥,¥ANTH-UA 2 - Human Evolution¥,¥002-LAB (7906)¥,¥¥,¥Regular Academic Session¥,¥Th 9:30am - 10:45am¥,¥09/03/2019 - 12/13/2019¥,¥Abigail Elise Colby¥,¥Closed¥
¥ANTHUA2126179¥,¥ANTH-UA 2 - Human Evolution¥,¥003-LAB (7899)¥,¥¥,¥Regular Academic Session¥,¥Th 11:00am - 12:15pm¥,¥09/03/2019 - 12/13/2019¥,¥Abigail Elise Colby¥,¥Closed¥
¥ANTHUA2126179¥,¥ANTH-UA 2 - Human Evolution¥,¥004-LAB (7900)¥,¥¥,¥Regular Academic Session¥,¥We 9:30am - 10:45am¥,¥09/03/2019 - 12/13/2019¥,¥Audrey Mi-Young Choi¥,¥Closed¥
¥ANTHUA2126179¥,¥ANTH-UA 2 - Human Evolution¥,¥005-LAB (7901)¥,¥¥,¥Regular Academic Session¥,¥We 11:00am - 12:15pm¥,¥09/03/2019 - 12/13/2019¥,¥Audrey Mi-Young Choi¥,¥Closed¥
¥ANTHUA2126179¥,¥ANTH-UA 2 - Human Evolution¥,¥006-LAB (7902)¥,¥¥,¥Regular Academic Session¥,¥We 12:30pm - 1:45pm¥,¥09/03/2019 - 12/13/2019¥,¥Amber Eliza Trujillo¥,¥Closed¥
¥ANTHUA2126179¥,¥ANTH-UA 2 - Human Evolution¥,¥007-LAB (7903)¥,¥¥,¥Regular Academic Session¥,¥We 2:00pm - 3:15pm¥,¥09/03/2019 - 12/13/2019¥,¥Amber Eliza Trujillo¥,¥Open¥
