¥course_id¥,¥course_name¥,¥section¥,¥topic¥,¥session¥,¥days/times¥,¥dates¥,¥instructor¥,¥status¥,¥wait list total¥
¥ANSTUA410205326¥,¥ANST-UA 410 - Animal Minds¥,¥001-LEC (8953)¥,¥¥,¥Regular Academic Session¥,¥MoWe 2:00pm - 3:15pm¥,¥01/27/2020 - 05/11/2020¥,¥Alexandra Eleni Bookis, Jeffrey Raymond Sebo¥,¥Open¥,¥¥
¥ANSTUA440161474¥,¥ANST-UA 440 - Food, Animals, & The Environment¥,¥001-LEC (7612)¥,¥¥,¥Regular Academic Session¥,¥Tu 4:55pm - 7:35pm¥,¥01/27/2020 - 05/11/2020¥,¥Christopher P Schlottmann¥,¥Closed¥,¥¥
¥ANSTUA600153315¥,¥ANST-UA 600 - Topics in AS:¥,¥001-SEM (9025)¥,¥Literary Animals¥,¥Regular Academic Session¥,¥MoWe 3:30pm - 4:45pm¥,¥01/27/2020 - 05/11/2020¥,¥Nandini Akira Thiyagarajan¥,¥Open¥,¥¥
¥ANSTUA600153315¥,¥ANST-UA 600 - Topics in AS:¥,¥002-SEM (22261)¥,¥The Multi-Species Lab¥,¥Regular Academic Session¥,¥Mo 11:00am - 1:30pm¥,¥01/27/2020 - 05/11/2020¥,¥Una Chaudhuri, Yanoula Athanassakis¥,¥Closed¥,¥¥
¥ANSTUA600153315¥,¥ANST-UA 600 - Topics in AS:¥,¥004-SEM (9708)¥,¥Pets, Pests, or Family¥,¥Regular Academic Session¥,¥MoWe 12:30pm - 1:45pm¥,¥01/27/2020 - 05/11/2020¥,¥Nandini Akira Thiyagarajan¥,¥Open¥,¥¥
¥ANTHUA1126178¥,¥ANTH-UA 1 - Culture, Power, Society¥,¥001-LEC (7629)¥,¥¥,¥Regular Academic Session¥,¥TuTh 2:00pm - 3:15pm¥,¥01/27/2020 - 05/11/2020¥,¥Amy Zhang¥,¥Open¥,¥¥
¥ANTHUA1126178¥,¥ANTH-UA 1 - Culture, Power, Society¥,¥002-RCT (7630)¥,¥¥,¥Regular Academic Session¥,¥Th 9:30am - 10:45am¥,¥01/27/2020 - 05/11/2020¥,¥Sarah Amy Riccardi-Swartz¥,¥Closed¥,¥¥
¥ANTHUA1126178¥,¥ANTH-UA 1 - Culture, Power, Society¥,¥003-RCT (7631)¥,¥¥,¥Regular Academic Session¥,¥Th 11:00am - 12:15pm¥,¥01/27/2020 - 05/11/2020¥,¥Sarah Amy Riccardi-Swartz¥,¥Closed¥,¥¥
¥ANTHUA1126178¥,¥ANTH-UA 1 - Culture, Power, Society¥,¥004-RCT (7632)¥,¥¥,¥Regular Academic Session¥,¥Th 8:00am - 9:15am¥,¥01/27/2020 - 05/11/2020¥,¥Jayati Narain¥,¥Open¥,¥¥
¥ANTHUA1126178¥,¥ANTH-UA 1 - Culture, Power, Society¥,¥006-RCT (9927)¥,¥¥,¥Regular Academic Session¥,¥Fr 9:30am - 10:45am¥,¥01/27/2020 - 05/11/2020¥,¥Anisha Chadha¥,¥Open¥,¥¥
¥ANTHUA1126178¥,¥ANTH-UA 1 - Culture, Power, Society¥,¥007-RCT (9928)¥,¥¥,¥Regular Academic Session¥,¥Fr 11:00am - 12:15pm¥,¥01/27/2020 - 05/11/2020¥,¥Anisha Chadha¥,¥Open¥,¥¥
