¥course_id¥,¥course_name¥,¥section¥,¥topic¥,¥session¥,¥days/times¥,¥dates¥,¥instructor¥,¥status¥,¥wait list total¥
¥ANSTUA400205325¥,¥ANST-UA 400 - Ethics and Animals¥,¥001-LEC (9711)¥,¥¥,¥Regular Academic Session¥,¥Tu 5:00pm - 7:30pm¥,¥09/02/2020 - 12/13/2020¥,¥Jeffrey Raymond Sebo¥,¥Open¥,¥¥
¥ANSTUA500203634¥,¥ANST-UA 500 - Animals and Public Policy¥,¥001-SEM (10659)¥,¥¥,¥Regular Academic Session¥,¥Th 5:00pm - 7:30pm¥,¥09/02/2020 - 12/13/2020¥,¥David Jonathan Wolfson, Eve Christa Wetlaufer¥,¥Open¥,¥¥
¥ANSTUA600153315¥,¥ANST-UA 600 - Topics in AS:¥,¥001-SEM (19791)¥,¥TBA¥,¥Regular Academic Session¥,¥MoWe 9:30am - 10:45am¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA1126178¥,¥ANTH-UA 1 - Culture, Power, Society¥,¥001-LEC (8477)¥,¥¥,¥Regular Academic Session¥,¥TuTh 11:00am - 12:15pm¥,¥09/02/2020 - 12/13/2020¥,¥Amy Zhang¥,¥Open¥,¥¥
¥ANTHUA1126178¥,¥ANTH-UA 1 - Culture, Power, Society¥,¥002-RCT (8478)¥,¥¥,¥Regular Academic Session¥,¥Fr 9:30am - 10:45am¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA1126178¥,¥ANTH-UA 1 - Culture, Power, Society¥,¥003-RCT (8479)¥,¥¥,¥Regular Academic Session¥,¥Fr 9:30am - 10:45am¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA1126178¥,¥ANTH-UA 1 - Culture, Power, Society¥,¥004-RCT (8480)¥,¥¥,¥Regular Academic Session¥,¥Fr 12:30pm - 1:45pm¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA1126178¥,¥ANTH-UA 1 - Culture, Power, Society¥,¥005-RCT (8481)¥,¥¥,¥Regular Academic Session¥,¥Fr 11:00am - 12:15pm¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA1126178¥,¥ANTH-UA 1 - Culture, Power, Society¥,¥006-RCT (10279)¥,¥¥,¥Regular Academic Session¥,¥Fr 11:00am - 12:15pm¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA1126178¥,¥ANTH-UA 1 - Culture, Power, Society¥,¥007-RCT (10280)¥,¥¥,¥Regular Academic Session¥,¥Fr 12:30pm - 1:45pm¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA2126179¥,¥ANTH-UA 2 - Human Evolution¥,¥001-LEC (8482)¥,¥¥,¥Regular Academic Session¥,¥TuTh 2:00pm - 3:15pm¥,¥09/02/2020 - 12/13/2020¥,¥Terry Harrison¥,¥Open¥,¥¥
¥ANTHUA2126179¥,¥ANTH-UA 2 - Human Evolution¥,¥002-LAB (8490)¥,¥¥,¥Regular Academic Session¥,¥Th 9:30am - 10:45am¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA2126179¥,¥ANTH-UA 2 - Human Evolution¥,¥003-LAB (8483)¥,¥¥,¥Regular Academic Session¥,¥Th 11:00am - 12:15pm¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA2126179¥,¥ANTH-UA 2 - Human Evolution¥,¥004-LAB (8484)¥,¥¥,¥Regular Academic Session¥,¥We 9:30am - 10:45am¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA2126179¥,¥ANTH-UA 2 - Human Evolution¥,¥005-LAB (8485)¥,¥¥,¥Regular Academic Session¥,¥We 11:00am - 12:15pm¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA2126179¥,¥ANTH-UA 2 - Human Evolution¥,¥006-LAB (8486)¥,¥¥,¥Regular Academic Session¥,¥We 12:30pm - 1:45pm¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA2126179¥,¥ANTH-UA 2 - Human Evolution¥,¥007-LAB (8487)¥,¥¥,¥Regular Academic Session¥,¥We 2:00pm - 3:15pm¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA2126179¥,¥ANTH-UA 2 - Human Evolution¥,¥008-LAB (8488)¥,¥¥,¥Regular Academic Session¥,¥We 3:30pm - 4:45pm¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA2126179¥,¥ANTH-UA 2 - Human Evolution¥,¥009-LAB (8489)¥,¥¥,¥Regular Academic Session¥,¥We 5:00pm - 6:15pm¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA3126180¥,¥ANTH-UA 3 - Archaeology: Early Societies & Culture¥,¥001-LEC (8491)¥,¥¥,¥Regular Academic Session¥,¥MoWe 11:00am - 12:15pm¥,¥09/02/2020 - 12/13/2020¥,¥Justin Pargeter¥,¥Open¥,¥¥
¥ANTHUA3126180¥,¥ANTH-UA 3 - Archaeology: Early Societies & Culture¥,¥002-LAB (8492)¥,¥¥,¥Regular Academic Session¥,¥Tu 9:30am - 10:45am¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA3126180¥,¥ANTH-UA 3 - Archaeology: Early Societies & Culture¥,¥003-LAB (8493)¥,¥¥,¥Regular Academic Session¥,¥Tu 11:00am - 12:15pm¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA3126180¥,¥ANTH-UA 3 - Archaeology: Early Societies & Culture¥,¥004-LAB (8494)¥,¥¥,¥Regular Academic Session¥,¥Tu 12:30pm - 1:45pm¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA3126180¥,¥ANTH-UA 3 - Archaeology: Early Societies & Culture¥,¥005-LAB (8495)¥,¥¥,¥Regular Academic Session¥,¥Tu 2:00pm - 3:15pm¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA11233338¥,¥ANTH-UA 11 - Theories and Methods in the Study of Religion¥,¥001-LEC (20020)¥,¥¥,¥Regular Academic Session¥,¥TuTh 11:00am - 12:15pm¥,¥09/02/2020 - 12/13/2020¥,¥Elayne Mary Oliphant¥,¥Open¥,¥¥
¥ANTHUA36206628¥,¥ANTH-UA 36 - Global Biocultures: Anthropological Perspectives on Public Health¥,¥001-SEM (11228)¥,¥¥,¥Regular Academic Session¥,¥MoWe 4:55pm - 6:10pm¥,¥09/02/2020 - 12/13/2020¥,¥Cara Idriss, Helena B Hansen¥,¥Open¥,¥¥
¥ANTHUA36206628¥,¥ANTH-UA 36 - Global Biocultures: Anthropological Perspectives on Public Health¥,¥002-LAB (22481)¥,¥¥,¥Regular Academic Session¥,¥Fr 8:00am - 9:15am¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA36206628¥,¥ANTH-UA 36 - Global Biocultures: Anthropological Perspectives on Public Health¥,¥003-LAB (22482)¥,¥¥,¥Regular Academic Session¥,¥Fr 8:00am - 9:15am¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA36206628¥,¥ANTH-UA 36 - Global Biocultures: Anthropological Perspectives on Public Health¥,¥004-LAB (22483)¥,¥¥,¥Regular Academic Session¥,¥Fr 9:30am - 10:45am¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA36206628¥,¥ANTH-UA 36 - Global Biocultures: Anthropological Perspectives on Public Health¥,¥005-LAB (22484)¥,¥¥,¥Regular Academic Session¥,¥Fr 9:30am - 10:45am¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA50126202¥,¥ANTH-UA 50 - Fossil Evidence for Human Evolution¥,¥001-LEC (18676)¥,¥¥,¥Regular Academic Session¥,¥TuTh 2:00pm - 3:15pm¥,¥09/02/2020 - 12/13/2020¥,¥Audrey Mi-Young Choi, Shara E Bailey¥,¥Open¥,¥¥
¥ANTHUA54126206¥,¥ANTH-UA 54 - Primate Behavioral Ecology¥,¥001-LEC (10812)¥,¥¥,¥Regular Academic Session¥,¥MoWe 9:30am - 10:45am¥,¥09/02/2020 - 12/13/2020¥,¥Abigail Elise Colby, James Paul Higham¥,¥Open¥,¥¥
¥ANTHUA80126211¥,¥ANTH-UA 80 - Emerging Diseases¥,¥001-SEM (10815)¥,¥¥,¥Regular Academic Session¥,¥MoWe 3:30pm - 4:45pm¥,¥09/02/2020 - 12/13/2020¥,¥Andrew S Burrell¥,¥Open¥,¥¥
¥ANTHUA113226617¥,¥ANTH-UA 113 - Disability Worlds: Anthropological Perspectives¥,¥001-SEM (19670)¥,¥¥,¥Regular Academic Session¥,¥MoWe 2:00pm - 3:15pm¥,¥09/02/2020 - 12/13/2020¥,¥Faye Ginsburg, Rayna Rapp¥,¥Open¥,¥¥
¥ANTHUA326126243¥,¥ANTH-UA 326 - Introduction to Forensic Anthropology¥,¥001-LEC (10813)¥,¥¥,¥Regular Academic Session¥,¥MoWe 4:55pm - 6:10pm¥,¥09/02/2020 - 12/13/2020¥,¥Jordan Stanley Guerra, Julie Lozano¥,¥Open¥,¥¥
¥ANTHUA331126247¥,¥ANTH-UA 331 - Human Rights & Culture¥,¥001-LEC (20360)¥,¥¥,¥Regular Academic Session¥,¥MoWe 2:00pm - 3:15pm¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA608208255¥,¥ANTH-UA 608 - Last Hunters-First Farmers¥,¥001-LEC (18677)¥,¥¥,¥Regular Academic Session¥,¥TuTh 9:30am - 10:45am¥,¥09/02/2020 - 12/13/2020¥,¥Pam Crabtree¥,¥Open¥,¥¥
¥ANTHUA609233305¥,¥ANTH-UA 609 - Migration, Mobility, and Dispersal in Prehistory¥,¥001-SEM (19813)¥,¥¥,¥Regular Academic Session¥,¥MoWe 11:00am - 12:15pm¥,¥09/02/2020 - 12/13/2020¥,¥Radu Iovita¥,¥Open¥,¥¥
¥ANTHUA649233775¥,¥ANTH-UA 649 - Monsters and Their Humans¥,¥001-SEM (22366)¥,¥¥,¥Regular Academic Session¥,¥We 11:00am - 1:45pm¥,¥09/02/2020 - 12/13/2020¥,¥Angela Zito¥,¥Open¥,¥¥
¥ANTHUA747231247¥,¥ANTH-UA 747 - Introduction to Native American Studies¥,¥001-LEC (10825)¥,¥¥,¥Regular Academic Session¥,¥TuTh 11:00am - 12:15pm¥,¥09/02/2020 - 12/13/2020¥,¥Dean Saranillio¥,¥Open¥,¥¥
¥ANTHUA950126259¥,¥ANTH-UA 950 - Honors Research I¥,¥001-IND (8496)¥,¥¥,¥Regular Academic Session¥,¥We 12:30pm - 1:45pm¥,¥09/02/2020 - 12/13/2020¥,¥Tejaswini Ganti¥,¥Open¥,¥¥
¥ANTHUA997126263¥,¥ANTH-UA 997 - Independent Study¥,¥001-IND (8497)¥,¥¥,¥Regular Academic Session¥,¥TBA¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA997126263¥,¥ANTH-UA 997 - Independent Study¥,¥002-IND (8498)¥,¥¥,¥Regular Academic Session¥,¥TBA¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA997126263¥,¥ANTH-UA 997 - Independent Study¥,¥003-IND (8499)¥,¥¥,¥Regular Academic Session¥,¥TBA¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA997126263¥,¥ANTH-UA 997 - Independent Study¥,¥004-IND (8500)¥,¥¥,¥Regular Academic Session¥,¥TBA¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA997126263¥,¥ANTH-UA 997 - Independent Study¥,¥005-IND (10782)¥,¥¥,¥Regular Academic Session¥,¥TBA¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA997126263¥,¥ANTH-UA 997 - Independent Study¥,¥006-IND (10783)¥,¥¥,¥Regular Academic Session¥,¥TBA¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA997126263¥,¥ANTH-UA 997 - Independent Study¥,¥007-IND (10787)¥,¥¥,¥Regular Academic Session¥,¥TBA¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA997126263¥,¥ANTH-UA 997 - Independent Study¥,¥008-IND (10788)¥,¥¥,¥Regular Academic Session¥,¥TBA¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA998126264¥,¥ANTH-UA 998 - Independent Study¥,¥001-IND (8501)¥,¥¥,¥Regular Academic Session¥,¥TBA¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA998126264¥,¥ANTH-UA 998 - Independent Study¥,¥002-IND (8502)¥,¥¥,¥Regular Academic Session¥,¥TBA¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA998126264¥,¥ANTH-UA 998 - Independent Study¥,¥003-IND (10789)¥,¥¥,¥Regular Academic Session¥,¥TBA¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA998126264¥,¥ANTH-UA 998 - Independent Study¥,¥004-IND (10790)¥,¥¥,¥Regular Academic Session¥,¥TBA¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA998126264¥,¥ANTH-UA 998 - Independent Study¥,¥005-IND (10792)¥,¥¥,¥Regular Academic Session¥,¥TBA¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA998126264¥,¥ANTH-UA 998 - Independent Study¥,¥006-IND (10793)¥,¥¥,¥Regular Academic Session¥,¥TBA¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA998126264¥,¥ANTH-UA 998 - Independent Study¥,¥007-IND (10794)¥,¥¥,¥Regular Academic Session¥,¥TBA¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ARTHUA1127939¥,¥ARTH-UA 1 - History of Western Art I¥,¥001-LEC (9873)¥,¥¥,¥Regular Academic Session¥,¥MoWe 9:30am - 10:45am¥,¥09/02/2020 - 12/13/2020¥,¥Carol H Krinsky¥,¥Open¥,¥¥
¥ARTHUA1127939¥,¥ARTH-UA 1 - History of Western Art I¥,¥002-LEC (9875)¥,¥¥,¥Regular Academic Session¥,¥MoWe 9:30am - 10:45am¥,¥09/02/2020 - 12/13/2020¥,¥Carol H Krinsky¥,¥Open¥,¥¥
¥ARTHUA1127939¥,¥ARTH-UA 1 - History of Western Art I¥,¥003-LEC (9874)¥,¥¥,¥Regular Academic Session¥,¥MoWe 9:30am - 10:45am¥,¥09/02/2020 - 12/13/2020¥,¥Carol H Krinsky¥,¥Open¥,¥¥
